Start date;End date;Biomass [MWh] Original resolutions;Hydropower [MWh] Original resolutions;Wind onshore [MWh] Original resolutions;Photovoltaics [MWh] Original resolutions;Other renewable [MWh] Original resolutions;Hard coal [MWh] Original resolutions;Fossil gas [MWh] Original resolutions;Hydro pumped storage [MWh] Original resolutions;Other conventional [MWh] Original resolutions
Jan 12, 2025 2:15 AM;Jan 12, 2025 2:30 AM;65.00;637.50;873.00;0.00;0.00;0.00;312.75;0.00;30.50
Jan 12, 2025 2:30 AM;Jan 12, 2025 2:45 AM;64.00;634.00;861.00;0.00;0.00;0.00;311.00;0.00;30.50
Jan 12, 2025 2:45 AM;Jan 12, 2025 3:00 AM;64.00;635.25;845.00;0.00;0.00;0.00;310.75;0.00;30.50
Jan 12, 2025 3:00 AM;Jan 12, 2025 3:15 AM;64.00;631.75;849.00;0.00;0.00;0.00;303.00;0.00;30.50
Jan 12, 2025 3:15 AM;Jan 12, 2025 3:30 AM;64.00;629.25;849.00;0.00;0.00;0.00;305.00;0.00;30.50
Jan 12, 2025 3:30 AM;Jan 12, 2025 3:45 AM;64.00;633.50;848.00;0.00;0.00;0.00;308.25;0.00;30.50
Jan 12, 2025 3:45 AM;Jan 12, 2025 4:00 AM;64.00;636.00;837.00;0.00;0.00;0.00;309.25;0.00;30.50
Jan 12, 2025 4:00 AM;Jan 12, 2025 4:15 AM;64.00;635.50;835.00;0.00;0.00;0.00;310.00;0.00;30.50
Jan 12, 2025 4:15 AM;Jan 12, 2025 4:30 AM;64.00;633.75;834.00;0.00;0.00;0.00;310.00;0.00;30.50
Jan 12, 2025 4:30 AM;Jan 12, 2025 4:45 AM;64.00;635.50;831.00;0.00;0.00;0.00;311.50;0.00;30.50
Jan 12, 2025 4:45 AM;Jan 12, 2025 5:00 AM;64.00;634.00;829.00;0.00;0.00;0.00;313.00;0.00;30.50
Jan 12, 2025 5:00 AM;Jan 12, 2025 5:15 AM;64.00;629.75;834.00;0.00;0.00;0.00;325.00;0.00;30.50
Jan 12, 2025 5:15 AM;Jan 12, 2025 5:30 AM;64.00;631.50;845.00;0.00;0.00;0.00;327.50;0.00;30.50
Jan 12, 2025 5:30 AM;Jan 12, 2025 5:45 AM;64.00;632.75;848.00;0.00;0.00;0.00;334.50;0.00;30.50
Jan 12, 2025 5:45 AM;Jan 12, 2025 6:00 AM;64.00;632.25;849.00;0.00;0.00;0.00;338.50;0.00;30.50
Jan 12, 2025 6:00 AM;Jan 12, 2025 6:15 AM;65.00;632.25;846.00;0.00;0.00;0.00;346.25;0.00;30.50
Jan 12, 2025 6:15 AM;Jan 12, 2025 6:30 AM;64.00;639.50;844.00;0.00;0.00;0.00;357.00;0.00;30.50
Jan 12, 2025 6:30 AM;Jan 12, 2025 6:45 AM;64.00;645.75;842.00;0.00;0.00;0.00;353.75;0.00;30.50
Jan 12, 2025 6:45 AM;Jan 12, 2025 7:00 AM;64.00;648.50;843.00;0.00;0.00;0.00;365.50;0.00;30.50
Jan 12, 2025 7:00 AM;Jan 12, 2025 7:15 AM;64.00;661.75;833.00;0.00;0.00;0.00;352.50;0.00;30.50
Jan 12, 2025 7:15 AM;Jan 12, 2025 7:30 AM;63.00;672.50;836.00;0.00;0.00;0.00;357.75;0.00;30.50
Jan 12, 2025 7:30 AM;Jan 12, 2025 7:45 AM;63.00;681.75;845.00;0.00;0.00;0.00;380.50;0.00;30.50
Jan 12, 2025 7:45 AM;Jan 12, 2025 8:00 AM;63.00;676.50;853.00;6.00;0.00;0.00;401.50;0.00;30.50
Jan 12, 2025 8:00 AM;Jan 12, 2025 8:15 AM;62.00;683.50;852.00;19.00;0.00;0.00;443.50;16.00;30.50
Jan 12, 2025 8:15 AM;Jan 12, 2025 8:30 AM;62.00;681.25;843.00;30.00;0.00;0.00;457.25;28.00;30.50
Jan 12, 2025 8:30 AM;Jan 12, 2025 8:45 AM;62.00;688.75;843.00;43.00;0.00;0.00;462.25;31.00;30.50
Jan 12, 2025 8:45 AM;Jan 12, 2025 9:00 AM;61.00;686.00;845.00;58.00;0.00;0.00;465.75;25.50;30.50
Jan 12, 2025 9:00 AM;Jan 12, 2025 9:15 AM;61.00;648.00;845.00;135.00;0.00;0.00;455.50;56.50;30.50
Jan 12, 2025 9:15 AM;Jan 12, 2025 9:30 AM;61.00;642.00;844.00;153.00;0.00;0.00;454.25;56.50;30.50
Jan 12, 2025 9:30 AM;Jan 12, 2025 9:45 AM;61.00;642.25;847.00;156.00;0.00;0.00;456.50;61.75;30.50
Jan 12, 2025 9:45 AM;Jan 12, 2025 10:00 AM;61.00;641.25;853.00;164.00;0.00;0.00;456.50;68.25;30.50
Jan 12, 2025 10:00 AM;Jan 12, 2025 10:15 AM;61.00;642.00;855.00;182.00;0.00;0.00;465.50;35.50;30.50
Jan 12, 2025 10:15 AM;Jan 12, 2025 10:30 AM;61.00;628.00;857.00;197.00;0.00;0.00;461.00;38.25;30.50
Jan 12, 2025 10:30 AM;Jan 12, 2025 10:45 AM;61.00;625.75;857.00;208.00;0.00;0.00;459.50;38.75;30.50
Jan 12, 2025 10:45 AM;Jan 12, 2025 11:00 AM;61.00;620.75;856.00;213.00;0.00;0.00;460.00;45.25;30.50
Jan 12, 2025 11:00 AM;Jan 12, 2025 11:15 AM;61.00;613.75;860.00;221.00;0.00;0.00;468.00;57.25;30.50
Jan 12, 2025 11:15 AM;Jan 12, 2025 11:30 AM;61.00;606.75;859.00;231.00;0.00;0.00;465.75;59.50;30.50
Jan 12, 2025 11:30 AM;Jan 12, 2025 11:45 AM;61.00;600.50;859.00;233.00;0.00;0.00;462.00;69.75;30.50
Jan 12, 2025 11:45 AM;Jan 12, 2025 12:00 PM;61.00;600.00;857.00;230.00;0.00;0.00;462.50;53.25;30.50
Jan 12, 2025 12:00 PM;Jan 12, 2025 12:15 PM;61.00;612.75;858.00;229.00;0.00;0.00;470.00;0.00;30.50
Jan 12, 2025 12:15 PM;Jan 12, 2025 12:30 PM;61.00;612.25;861.00;239.00;0.00;0.00;468.50;0.00;30.50
Jan 12, 2025 12:30 PM;Jan 12, 2025 12:45 PM;61.00;619.25;855.00;236.00;0.00;0.00;472.00;0.00;30.50
Jan 12, 2025 12:45 PM;Jan 12, 2025 1:00 PM;61.00;615.75;855.00;226.00;0.00;0.00;473.75;0.00;30.50
Jan 12, 2025 1:00 PM;Jan 12, 2025 1:15 PM;61.00;612.00;853.00;219.00;0.00;0.00;478.50;0.00;30.50
Jan 12, 2025 1:15 PM;Jan 12, 2025 1:30 PM;61.00;610.75;848.00;212.00;0.00;0.00;481.50;0.00;30.50
Jan 12, 2025 1:30 PM;Jan 12, 2025 1:45 PM;61.00;618.00;842.00;202.00;0.00;0.00;486.25;0.00;30.50
Jan 12, 2025 1:45 PM;Jan 12, 2025 2:00 PM;61.00;617.75;838.00;187.00;0.00;0.00;492.75;0.00;30.50
Jan 12, 2025 2:00 PM;Jan 12, 2025 2:15 PM;61.00;623.25;840.00;172.00;0.00;0.00;496.00;0.00;30.50
Jan 12, 2025 2:15 PM;Jan 12, 2025 2:30 PM;62.00;626.50;835.00;158.00;0.00;0.00;499.00;0.00;30.50
Jan 12, 2025 2:30 PM;Jan 12, 2025 2:45 PM;62.00;630.25;840.00;140.00;0.00;0.00;500.00;0.00;30.50
Jan 12, 2025 2:45 PM;Jan 12, 2025 3:00 PM;61.00;633.00;832.00;119.00;0.00;0.00;503.00;11.50;30.50
Jan 12, 2025 3:00 PM;Jan 12, 2025 3:15 PM;61.00;650.75;828.00;99.00;0.00;0.00;507.25;27.50;30.50
Jan 12, 2025 3:15 PM;Jan 12, 2025 3:30 PM;61.00;665.75;827.00;83.00;0.00;0.00;513.00;42.75;30.50
Jan 12, 2025 3:30 PM;Jan 12, 2025 3:45 PM;61.00;701.50;822.00;60.00;0.00;0.00;519.00;42.50;30.50
Jan 12, 2025 3:45 PM;Jan 12, 2025 4:00 PM;61.00;721.00;822.00;38.00;0.00;0.00;529.00;67.00;30.50
Jan 12, 2025 4:00 PM;Jan 12, 2025 4:15 PM;62.00;742.50;825.00;23.00;0.00;0.00;533.00;153.00;30.50
Jan 12, 2025 4:15 PM;Jan 12, 2025 4:30 PM;62.00;756.00;833.00;12.00;0.00;0.00;548.50;181.50;30.50
Jan 12, 2025 4:30 PM;Jan 12, 2025 4:45 PM;62.00;777.00;831.00;2.00;0.00;0.00;558.25;176.50;30.50
Jan 12, 2025 4:45 PM;Jan 12, 2025 5:00 PM;62.00;808.00;840.00;0.00;0.00;0.00;562.50;232.75;30.50
Jan 12, 2025 5:00 PM;Jan 12, 2025 5:15 PM;62.00;846.50;838.00;0.00;0.00;0.00;563.00;464.00;30.50
Jan 12, 2025 5:15 PM;Jan 12, 2025 5:30 PM;62.00;855.00;842.00;0.00;0.00;0.00;562.50;500.50;30.50
Jan 12, 2025 5:30 PM;Jan 12, 2025 5:45 PM;62.00;859.50;845.00;0.00;0.00;0.00;562.25;510.50;30.50
Jan 12, 2025 5:45 PM;Jan 12, 2025 6:00 PM;62.00;872.25;849.00;0.00;0.00;0.00;562.50;514.50;30.50
Jan 12, 2025 6:00 PM;Jan 12, 2025 6:15 PM;62.00;900.00;855.00;0.00;0.00;0.00;563.00;544.50;30.50
Jan 12, 2025 6:15 PM;Jan 12, 2025 6:30 PM;63.00;897.00;857.00;0.00;0.00;0.00;562.50;543.25;30.50
Jan 12, 2025 6:30 PM;Jan 12, 2025 6:45 PM;63.00;890.75;857.00;0.00;0.00;0.00;560.50;535.50;30.50
Jan 12, 2025 6:45 PM;Jan 12, 2025 7:00 PM;63.00;880.00;856.00;0.00;0.00;0.00;558.75;535.00;30.50
Jan 12, 2025 7:00 PM;Jan 12, 2025 7:15 PM;63.00;892.00;860.00;0.00;0.00;0.00;558.50;560.25;30.50
Jan 12, 2025 7:15 PM;Jan 12, 2025 7:30 PM;63.00;896.00;858.00;0.00;0.00;0.00;557.75;552.00;30.50
Jan 12, 2025 7:30 PM;Jan 12, 2025 7:45 PM;63.00;893.50;857.00;0.00;0.00;0.00;558.00;545.75;30.50
Jan 12, 2025 7:45 PM;Jan 12, 2025 8:00 PM;63.00;884.25;863.00;0.00;0.00;0.00;557.50;530.00;30.50
Jan 12, 2025 8:00 PM;Jan 12, 2025 8:15 PM;64.00;825.25;864.00;0.00;0.00;0.00;560.25;345.00;30.50
Jan 12, 2025 8:15 PM;Jan 12, 2025 8:30 PM;64.00;830.50;872.00;0.00;0.00;0.00;554.75;297.50;30.50
Jan 12, 2025 8:30 PM;Jan 12, 2025 8:45 PM;64.00;811.50;874.00;0.00;0.00;0.00;551.25;264.75;30.50
Jan 12, 2025 8:45 PM;Jan 12, 2025 9:00 PM;64.00;790.00;871.00;0.00;0.00;0.00;548.00;251.00;30.50
Jan 12, 2025 9:00 PM;Jan 12, 2025 9:15 PM;64.00;783.75;863.00;0.00;0.00;0.00;542.25;134.50;30.50
Jan 12, 2025 9:15 PM;Jan 12, 2025 9:30 PM;65.00;770.50;854.00;0.00;0.00;0.00;538.50;95.00;30.50
Jan 12, 2025 9:30 PM;Jan 12, 2025 9:45 PM;65.00;744.00;849.00;0.00;0.00;0.00;534.50;90.00;30.50
Jan 12, 2025 9:45 PM;Jan 12, 2025 10:00 PM;65.00;732.50;841.00;0.00;0.00;0.00;528.75;86.00;30.50
Jan 12, 2025 10:00 PM;Jan 12, 2025 10:15 PM;65.00;751.75;839.00;0.00;0.00;0.00;522.75;90.75;30.50
Jan 12, 2025 10:15 PM;Jan 12, 2025 10:30 PM;65.00;735.00;829.00;0.00;0.00;0.00;513.50;76.00;30.50
Jan 12, 2025 10:30 PM;Jan 12, 2025 10:45 PM;65.00;739.25;824.00;0.00;0.00;0.00;514.75;91.00;30.50
Jan 12, 2025 10:45 PM;Jan 12, 2025 11:00 PM;65.00;722.25;825.00;0.00;0.00;0.00;510.75;79.00;30.50
Jan 12, 2025 11:00 PM;Jan 12, 2025 11:15 PM;66.00;678.75;821.00;0.00;0.00;0.00;512.50;66.50;30.50
Jan 12, 2025 11:15 PM;Jan 12, 2025 11:30 PM;66.00;666.00;821.00;0.00;0.00;0.00;504.25;59.00;30.50
Jan 12, 2025 11:30 PM;Jan 12, 2025 11:45 PM;66.00;664.25;829.00;0.00;0.00;0.00;499.00;60.75;30.50
Jan 12, 2025 11:45 PM;Jan 13, 2025 12:00 AM;66.00;658.00;817.00;0.00;0.00;0.00;497.50;52.25;30.50
Jan 13, 2025 12:00 AM;Jan 13, 2025 12:15 AM;69.00;628.75;817.00;0.00;0.00;0.00;464.50;30.75;30.50
Jan 13, 2025 12:15 AM;Jan 13, 2025 12:30 AM;69.00;621.00;827.00;0.00;0.00;0.00;450.00;44.00;30.50
Jan 13, 2025 12:30 AM;Jan 13, 2025 12:45 AM;69.00;611.25;832.00;0.00;0.00;0.00;447.50;36.50;30.50
Jan 13, 2025 12:45 AM;Jan 13, 2025 1:00 AM;68.00;603.00;838.00;0.00;0.00;0.00;443.00;36.25;30.50
Jan 13, 2025 1:00 AM;Jan 13, 2025 1:15 AM;68.00;608.25;842.00;0.00;0.00;0.00;400.00;29.75;30.50
Jan 13, 2025 1:15 AM;Jan 13, 2025 1:30 AM;68.00;602.50;854.00;0.00;0.00;0.00;383.00;35.75;30.50
Jan 13, 2025 1:30 AM;Jan 13, 2025 1:45 AM;68.00;598.00;862.00;0.00;0.00;0.00;380.00;29.50;30.50
