Start date;End date;Total [MWh] Original resolutions;Photovoltaics and wind [MWh] Original resolutions;Wind onshore [MWh] Original resolutions;Photovoltaics [MWh] Original resolutions;Other [MWh] Calculated resolutions
Jul 8, 2025 10:15 PM;Jul 8, 2025 10:30 PM;1,989.50;719.00;719.00;0.00;1,272.50
Jul 8, 2025 10:30 PM;Jul 8, 2025 10:45 PM;1,989.50;715.00;715.00;0.00;1,272.50
Jul 8, 2025 10:45 PM;Jul 8, 2025 11:00 PM;1,989.50;710.00;710.00;0.00;1,272.50
Jul 8, 2025 11:00 PM;Jul 8, 2025 11:15 PM;1,812.25;705.00;705.00;0.00;1,105.00
Jul 8, 2025 11:15 PM;Jul 8, 2025 11:30 PM;1,812.25;707.00;707.00;0.00;1,105.00
Jul 8, 2025 11:30 PM;Jul 8, 2025 11:45 PM;1,812.25;708.00;708.00;0.00;1,105.00
Jul 8, 2025 11:45 PM;Jul 9, 2025 12:00 AM;1,812.25;709.00;709.00;0.00;1,105.00
Jul 9, 2025 12:00 AM;Jul 9, 2025 12:15 AM;1,872.25;736.00;736.00;0.00;1,134.25
Jul 9, 2025 12:15 AM;Jul 9, 2025 12:30 AM;1,872.25;737.00;737.00;0.00;1,134.25
Jul 9, 2025 12:30 AM;Jul 9, 2025 12:45 AM;1,872.25;739.00;739.00;0.00;1,134.25
Jul 9, 2025 12:45 AM;Jul 9, 2025 1:00 AM;1,872.25;740.00;740.00;0.00;1,134.25
Jul 9, 2025 1:00 AM;Jul 9, 2025 1:15 AM;1,784.50;742.00;742.00;0.00;1,032.00
Jul 9, 2025 1:15 AM;Jul 9, 2025 1:30 AM;1,784.50;749.00;749.00;0.00;1,032.00
Jul 9, 2025 1:30 AM;Jul 9, 2025 1:45 AM;1,784.50;756.00;756.00;0.00;1,032.00
Jul 9, 2025 1:45 AM;Jul 9, 2025 2:00 AM;1,784.50;763.00;763.00;0.00;1,032.00
Jul 9, 2025 2:00 AM;Jul 9, 2025 2:15 AM;1,785.25;769.00;769.00;0.00;1,007.50
Jul 9, 2025 2:15 AM;Jul 9, 2025 2:30 AM;1,785.25;775.00;775.00;0.00;1,007.50
Jul 9, 2025 2:30 AM;Jul 9, 2025 2:45 AM;1,785.25;781.00;781.00;0.00;1,007.50
Jul 9, 2025 2:45 AM;Jul 9, 2025 3:00 AM;1,785.25;786.00;786.00;0.00;1,007.50
Jul 9, 2025 3:00 AM;Jul 9, 2025 3:15 AM;1,791.00;792.00;792.00;0.00;995.25
Jul 9, 2025 3:15 AM;Jul 9, 2025 3:30 AM;1,791.00;794.00;794.00;0.00;995.25
Jul 9, 2025 3:30 AM;Jul 9, 2025 3:45 AM;1,791.00;797.00;797.00;0.00;995.25
Jul 9, 2025 3:45 AM;Jul 9, 2025 4:00 AM;1,791.00;800.00;800.00;0.00;995.25
Jul 9, 2025 4:00 AM;Jul 9, 2025 4:15 AM;1,804.75;801.00;801.00;0.00;1,000.25
Jul 9, 2025 4:15 AM;Jul 9, 2025 4:30 AM;1,804.75;803.00;803.00;0.00;1,000.25
Jul 9, 2025 4:30 AM;Jul 9, 2025 4:45 AM;1,804.75;806.00;806.00;0.00;1,000.25
Jul 9, 2025 4:45 AM;Jul 9, 2025 5:00 AM;1,804.75;808.00;808.00;0.00;1,000.25
Jul 9, 2025 5:00 AM;Jul 9, 2025 5:15 AM;1,890.00;810.00;810.00;0.00;1,074.50
Jul 9, 2025 5:15 AM;Jul 9, 2025 5:30 AM;1,890.00;812.00;810.00;2.00;1,074.50
Jul 9, 2025 5:30 AM;Jul 9, 2025 5:45 AM;1,890.00;816.00;810.00;6.00;1,074.50
Jul 9, 2025 5:45 AM;Jul 9, 2025 6:00 AM;1,890.00;824.00;810.00;14.00;1,074.50
Jul 9, 2025 6:00 AM;Jul 9, 2025 6:15 AM;2,215.75;834.00;810.00;24.00;1,362.75
Jul 9, 2025 6:15 AM;Jul 9, 2025 6:30 AM;2,215.75;845.00;808.00;37.00;1,362.75
Jul 9, 2025 6:30 AM;Jul 9, 2025 6:45 AM;2,215.75;859.00;806.00;53.00;1,362.75
Jul 9, 2025 6:45 AM;Jul 9, 2025 7:00 AM;2,215.75;874.00;804.00;70.00;1,362.75
Jul 9, 2025 7:00 AM;Jul 9, 2025 7:15 AM;2,443.00;889.00;801.00;88.00;1,529.50
Jul 9, 2025 7:15 AM;Jul 9, 2025 7:30 AM;2,443.00;905.00;798.00;107.00;1,529.50
Jul 9, 2025 7:30 AM;Jul 9, 2025 7:45 AM;2,443.00;921.00;794.00;127.00;1,529.50
Jul 9, 2025 7:45 AM;Jul 9, 2025 8:00 AM;2,443.00;939.00;791.00;148.00;1,529.50
Jul 9, 2025 8:00 AM;Jul 9, 2025 8:15 AM;2,321.50;958.00;789.00;169.00;1,323.25
Jul 9, 2025 8:15 AM;Jul 9, 2025 8:30 AM;2,321.50;984.00;793.00;191.00;1,323.25
Jul 9, 2025 8:30 AM;Jul 9, 2025 8:45 AM;2,321.50;1,012.00;798.00;214.00;1,323.25
Jul 9, 2025 8:45 AM;Jul 9, 2025 9:00 AM;2,321.50;1,039.00;802.00;237.00;1,323.25
Jul 9, 2025 9:00 AM;Jul 9, 2025 9:15 AM;1,970.75;1,067.00;807.00;260.00;860.00
Jul 9, 2025 9:15 AM;Jul 9, 2025 9:30 AM;1,970.75;1,097.00;813.00;284.00;860.00
Jul 9, 2025 9:30 AM;Jul 9, 2025 9:45 AM;1,970.75;1,126.00;819.00;307.00;860.00
Jul 9, 2025 9:45 AM;Jul 9, 2025 10:00 AM;1,970.75;1,153.00;825.00;328.00;860.00
Jul 9, 2025 10:00 AM;Jul 9, 2025 10:15 AM;1,872.00;1,178.00;829.00;349.00;671.75
Jul 9, 2025 10:15 AM;Jul 9, 2025 10:30 AM;1,872.00;1,195.00;826.00;369.00;671.75
Jul 9, 2025 10:30 AM;Jul 9, 2025 10:45 AM;1,872.00;1,209.00;824.00;385.00;671.75
Jul 9, 2025 10:45 AM;Jul 9, 2025 11:00 AM;1,872.00;1,219.00;821.00;398.00;671.75
Jul 9, 2025 11:00 AM;Jul 9, 2025 11:15 AM;1,853.50;1,228.00;818.00;410.00;618.00
Jul 9, 2025 11:15 AM;Jul 9, 2025 11:30 AM;1,853.50;1,234.00;814.00;420.00;618.00
Jul 9, 2025 11:30 AM;Jul 9, 2025 11:45 AM;1,853.50;1,239.00;811.00;428.00;618.00
Jul 9, 2025 11:45 AM;Jul 9, 2025 12:00 PM;1,853.50;1,241.00;807.00;434.00;618.00
Jul 9, 2025 12:00 PM;Jul 9, 2025 12:15 PM;1,850.00;1,242.00;803.00;439.00;609.75
Jul 9, 2025 12:15 PM;Jul 9, 2025 12:30 PM;1,850.00;1,241.00;798.00;443.00;609.75
Jul 9, 2025 12:30 PM;Jul 9, 2025 12:45 PM;1,850.00;1,240.00;793.00;447.00;609.75
Jul 9, 2025 12:45 PM;Jul 9, 2025 1:00 PM;1,850.00;1,238.00;789.00;449.00;609.75
Jul 9, 2025 1:00 PM;Jul 9, 2025 1:15 PM;1,837.75;1,233.00;783.00;450.00;620.25
Jul 9, 2025 1:15 PM;Jul 9, 2025 1:30 PM;1,837.75;1,225.00;774.00;451.00;620.25
Jul 9, 2025 1:30 PM;Jul 9, 2025 1:45 PM;1,837.75;1,213.00;765.00;448.00;620.25
Jul 9, 2025 1:45 PM;Jul 9, 2025 2:00 PM;1,837.75;1,199.00;757.00;442.00;620.25
Jul 9, 2025 2:00 PM;Jul 9, 2025 2:15 PM;1,813.00;1,183.00;748.00;435.00;651.75
Jul 9, 2025 2:15 PM;Jul 9, 2025 2:30 PM;1,813.00;1,168.00;742.00;426.00;651.75
Jul 9, 2025 2:30 PM;Jul 9, 2025 2:45 PM;1,813.00;1,154.00;736.00;418.00;651.75
Jul 9, 2025 2:45 PM;Jul 9, 2025 3:00 PM;1,813.00;1,140.00;730.00;410.00;651.75
Jul 9, 2025 3:00 PM;Jul 9, 2025 3:15 PM;1,799.75;1,125.00;724.00;401.00;700.00
Jul 9, 2025 3:15 PM;Jul 9, 2025 3:30 PM;1,799.75;1,110.00;719.00;391.00;700.00
Jul 9, 2025 3:30 PM;Jul 9, 2025 3:45 PM;1,799.75;1,092.00;714.00;378.00;700.00
Jul 9, 2025 3:45 PM;Jul 9, 2025 4:00 PM;1,799.75;1,072.00;710.00;362.00;700.00
Jul 9, 2025 4:00 PM;Jul 9, 2025 4:15 PM;1,790.00;1,050.00;704.00;346.00;778.50
Jul 9, 2025 4:15 PM;Jul 9, 2025 4:30 PM;1,790.00;1,025.00;697.00;328.00;778.50
Jul 9, 2025 4:30 PM;Jul 9, 2025 4:45 PM;1,790.00;999.00;691.00;308.00;778.50
Jul 9, 2025 4:45 PM;Jul 9, 2025 5:00 PM;1,790.00;972.00;684.00;288.00;778.50
Jul 9, 2025 5:00 PM;Jul 9, 2025 5:15 PM;1,800.50;944.00;677.00;267.00;898.75
Jul 9, 2025 5:15 PM;Jul 9, 2025 5:30 PM;1,800.50;917.00;671.00;246.00;898.75
Jul 9, 2025 5:30 PM;Jul 9, 2025 5:45 PM;1,800.50;888.00;665.00;223.00;898.75
Jul 9, 2025 5:45 PM;Jul 9, 2025 6:00 PM;1,800.50;858.00;658.00;200.00;898.75
Jul 9, 2025 6:00 PM;Jul 9, 2025 6:15 PM;1,856.00;829.00;653.00;176.00;1,066.00
Jul 9, 2025 6:15 PM;Jul 9, 2025 6:30 PM;1,856.00;803.00;649.00;154.00;1,066.00
Jul 9, 2025 6:30 PM;Jul 9, 2025 6:45 PM;1,856.00;776.00;644.00;132.00;1,066.00
Jul 9, 2025 6:45 PM;Jul 9, 2025 7:00 PM;1,856.00;752.00;640.00;112.00;1,066.00
Jul 9, 2025 7:00 PM;Jul 9, 2025 7:15 PM;2,346.00;730.00;638.00;92.00;1,638.25
Jul 9, 2025 7:15 PM;Jul 9, 2025 7:30 PM;2,346.00;715.00;641.00;74.00;1,638.25
Jul 9, 2025 7:30 PM;Jul 9, 2025 7:45 PM;2,346.00;700.00;645.00;55.00;1,638.25
Jul 9, 2025 7:45 PM;Jul 9, 2025 8:00 PM;2,346.00;686.00;648.00;38.00;1,638.25
Jul 9, 2025 8:00 PM;Jul 9, 2025 8:15 PM;2,427.50;674.00;651.00;23.00;1,751.25
Jul 9, 2025 8:15 PM;Jul 9, 2025 8:30 PM;2,427.50;674.00;661.00;13.00;1,751.25
