Start date;End date;Biomass [MWh] Original resolutions;Hydropower [MWh] Original resolutions;Wind onshore [MWh] Original resolutions;Photovoltaics [MWh] Original resolutions;Other renewable [MWh] Original resolutions;Hard coal [MWh] Original resolutions;Fossil gas [MWh] Original resolutions;Hydro pumped storage [MWh] Original resolutions;Other conventional [MWh] Original resolutions
Jul 26, 2025 11:00 AM;Jul 26, 2025 11:15 AM;35.00;1,318.00;37.00;173.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 11:15 AM;Jul 26, 2025 11:30 AM;35.00;1,305.00;50.00;184.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 11:30 AM;Jul 26, 2025 11:45 AM;35.00;1,294.00;57.00;194.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 11:45 AM;Jul 26, 2025 12:00 PM;35.00;1,304.50;76.00;206.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 12:00 PM;Jul 26, 2025 12:15 PM;35.00;1,321.25;107.00;218.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 12:15 PM;Jul 26, 2025 12:30 PM;35.00;1,291.50;107.00;229.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 12:30 PM;Jul 26, 2025 12:45 PM;35.00;1,289.75;106.00;239.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 12:45 PM;Jul 26, 2025 1:00 PM;35.00;1,305.75;88.00;248.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 1:00 PM;Jul 26, 2025 1:15 PM;35.00;1,332.75;95.00;259.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 1:15 PM;Jul 26, 2025 1:30 PM;35.00;1,336.50;101.00;267.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 1:30 PM;Jul 26, 2025 1:45 PM;35.00;1,344.50;89.00;281.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 1:45 PM;Jul 26, 2025 2:00 PM;35.00;1,341.00;68.00;297.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 2:00 PM;Jul 26, 2025 2:15 PM;35.00;1,320.50;57.00;313.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 2:15 PM;Jul 26, 2025 2:30 PM;35.00;1,321.50;49.00;328.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 2:30 PM;Jul 26, 2025 2:45 PM;35.00;1,330.50;39.00;332.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 2:45 PM;Jul 26, 2025 3:00 PM;35.00;1,331.25;35.00;331.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 3:00 PM;Jul 26, 2025 3:15 PM;35.00;1,340.50;35.00;327.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 3:15 PM;Jul 26, 2025 3:30 PM;35.00;1,344.00;35.00;323.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 3:30 PM;Jul 26, 2025 3:45 PM;35.00;1,368.00;42.00;315.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 3:45 PM;Jul 26, 2025 4:00 PM;35.00;1,362.00;38.00;303.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 4:00 PM;Jul 26, 2025 4:15 PM;35.00;1,338.00;49.00;286.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 4:15 PM;Jul 26, 2025 4:30 PM;35.00;1,331.75;39.00;272.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 4:30 PM;Jul 26, 2025 4:45 PM;35.00;1,315.50;23.00;252.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 4:45 PM;Jul 26, 2025 5:00 PM;35.00;1,320.00;26.00;232.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 5:00 PM;Jul 26, 2025 5:15 PM;35.00;1,303.75;34.00;215.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 5:15 PM;Jul 26, 2025 5:30 PM;35.00;1,318.25;33.00;198.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 5:30 PM;Jul 26, 2025 5:45 PM;35.00;1,342.25;30.00;181.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 5:45 PM;Jul 26, 2025 6:00 PM;35.00;1,383.00;30.00;165.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 6:00 PM;Jul 26, 2025 6:15 PM;35.00;1,339.75;30.00;148.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 6:15 PM;Jul 26, 2025 6:30 PM;35.00;1,330.25;31.00;131.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 6:30 PM;Jul 26, 2025 6:45 PM;35.00;1,326.00;42.00;113.00;0.00;0.00;0.00;0.00;30.50
