Start date;End date;Photovoltaics and wind [MWh] Original resolutions;Wind onshore [MWh] Original resolutions;Photovoltaics [MWh] Original resolutions
Jan 26, 2025 4:00 PM;Jan 26, 2025 4:15 PM;124.00;74.00;50.00
Jan 26, 2025 4:15 PM;Jan 26, 2025 4:30 PM;115.00;73.00;42.00
Jan 26, 2025 4:30 PM;Jan 26, 2025 4:45 PM;106.00;72.00;34.00
Jan 26, 2025 4:45 PM;Jan 26, 2025 5:00 PM;83.00;70.00;13.00
Jan 26, 2025 5:00 PM;Jan 26, 2025 5:15 PM;71.00;69.00;2.00
Jan 26, 2025 5:15 PM;Jan 26, 2025 5:30 PM;67.00;67.00;0.00
Jan 26, 2025 5:30 PM;Jan 26, 2025 5:45 PM;66.00;66.00;0.00
Jan 26, 2025 5:45 PM;Jan 26, 2025 6:00 PM;65.00;65.00;0.00
Jan 26, 2025 6:00 PM;Jan 26, 2025 6:15 PM;64.00;64.00;0.00
Jan 26, 2025 6:15 PM;Jan 26, 2025 6:30 PM;66.00;66.00;0.00
Jan 26, 2025 6:30 PM;Jan 26, 2025 6:45 PM;67.00;67.00;0.00
Jan 26, 2025 6:45 PM;Jan 26, 2025 7:00 PM;69.00;69.00;0.00
Jan 26, 2025 7:00 PM;Jan 26, 2025 7:15 PM;71.00;71.00;0.00
Jan 26, 2025 7:15 PM;Jan 26, 2025 7:30 PM;74.00;74.00;0.00
Jan 26, 2025 7:30 PM;Jan 26, 2025 7:45 PM;76.00;76.00;0.00
Jan 26, 2025 7:45 PM;Jan 26, 2025 8:00 PM;79.00;79.00;0.00
Jan 26, 2025 8:00 PM;Jan 26, 2025 8:15 PM;82.00;82.00;0.00
Jan 26, 2025 8:15 PM;Jan 26, 2025 8:30 PM;89.00;89.00;0.00
Jan 26, 2025 8:30 PM;Jan 26, 2025 8:45 PM;96.00;96.00;0.00
Jan 26, 2025 8:45 PM;Jan 26, 2025 9:00 PM;102.00;102.00;0.00
Jan 26, 2025 9:00 PM;Jan 26, 2025 9:15 PM;112.00;112.00;0.00
Jan 26, 2025 9:15 PM;Jan 26, 2025 9:30 PM;126.00;126.00;0.00
Jan 26, 2025 9:30 PM;Jan 26, 2025 9:45 PM;141.00;141.00;0.00
Jan 26, 2025 9:45 PM;Jan 26, 2025 10:00 PM;155.00;155.00;0.00
Jan 26, 2025 10:00 PM;Jan 26, 2025 10:15 PM;171.00;171.00;0.00
Jan 26, 2025 10:15 PM;Jan 26, 2025 10:30 PM;190.00;190.00;0.00
Jan 26, 2025 10:30 PM;Jan 26, 2025 10:45 PM;208.00;208.00;0.00
Jan 26, 2025 10:45 PM;Jan 26, 2025 11:00 PM;226.00;226.00;0.00
Jan 26, 2025 11:00 PM;Jan 26, 2025 11:15 PM;243.00;243.00;0.00
Jan 26, 2025 11:15 PM;Jan 26, 2025 11:30 PM;257.00;257.00;0.00
Jan 26, 2025 11:30 PM;Jan 26, 2025 11:45 PM;271.00;271.00;0.00
Jan 26, 2025 11:45 PM;Jan 27, 2025 12:00 AM;284.00;284.00;0.00
Jan 27, 2025 12:00 AM;Jan 27, 2025 12:15 AM;205.00;205.00;0.00
Jan 27, 2025 12:15 AM;Jan 27, 2025 12:30 AM;217.00;217.00;0.00
Jan 27, 2025 12:30 AM;Jan 27, 2025 12:45 AM;231.00;231.00;0.00
Jan 27, 2025 12:45 AM;Jan 27, 2025 1:00 AM;242.00;242.00;0.00
Jan 27, 2025 1:00 AM;Jan 27, 2025 1:15 AM;253.00;253.00;0.00
Jan 27, 2025 1:15 AM;Jan 27, 2025 1:30 AM;263.00;263.00;0.00
Jan 27, 2025 1:30 AM;Jan 27, 2025 1:45 AM;273.00;273.00;0.00
Jan 27, 2025 1:45 AM;Jan 27, 2025 2:00 AM;281.00;281.00;0.00
Jan 27, 2025 2:00 AM;Jan 27, 2025 2:15 AM;290.00;290.00;0.00
Jan 27, 2025 2:15 AM;Jan 27, 2025 2:30 AM;306.00;306.00;0.00
Jan 27, 2025 2:30 AM;Jan 27, 2025 2:45 AM;323.00;323.00;0.00
Jan 27, 2025 2:45 AM;Jan 27, 2025 3:00 AM;340.00;340.00;0.00
Jan 27, 2025 3:00 AM;Jan 27, 2025 3:15 AM;357.00;357.00;0.00
Jan 27, 2025 3:15 AM;Jan 27, 2025 3:30 AM;378.00;378.00;0.00
Jan 27, 2025 3:30 AM;Jan 27, 2025 3:45 AM;398.00;398.00;0.00
Jan 27, 2025 3:45 AM;Jan 27, 2025 4:00 AM;417.00;417.00;0.00
Jan 27, 2025 4:00 AM;Jan 27, 2025 4:15 AM;431.00;431.00;0.00
Jan 27, 2025 4:15 AM;Jan 27, 2025 4:30 AM;436.00;436.00;0.00
Jan 27, 2025 4:30 AM;Jan 27, 2025 4:45 AM;441.00;441.00;0.00
Jan 27, 2025 4:45 AM;Jan 27, 2025 5:00 AM;446.00;446.00;0.00
Jan 27, 2025 5:00 AM;Jan 27, 2025 5:15 AM;452.00;452.00;0.00
Jan 27, 2025 5:15 AM;Jan 27, 2025 5:30 AM;460.00;460.00;0.00
Jan 27, 2025 5:30 AM;Jan 27, 2025 5:45 AM;470.00;470.00;0.00
Jan 27, 2025 5:45 AM;Jan 27, 2025 6:00 AM;481.00;481.00;0.00
Jan 27, 2025 6:00 AM;Jan 27, 2025 6:15 AM;489.00;489.00;0.00
Jan 27, 2025 6:15 AM;Jan 27, 2025 6:30 AM;493.00;493.00;0.00
Jan 27, 2025 6:30 AM;Jan 27, 2025 6:45 AM;497.00;497.00;0.00
Jan 27, 2025 6:45 AM;Jan 27, 2025 7:00 AM;501.00;501.00;0.00
Jan 27, 2025 7:00 AM;Jan 27, 2025 7:15 AM;503.00;503.00;0.00
Jan 27, 2025 7:15 AM;Jan 27, 2025 7:30 AM;500.00;500.00;0.00
Jan 27, 2025 7:30 AM;Jan 27, 2025 7:45 AM;505.00;498.00;7.00
Jan 27, 2025 7:45 AM;Jan 27, 2025 8:00 AM;511.00;495.00;16.00
Jan 27, 2025 8:00 AM;Jan 27, 2025 8:15 AM;515.00;488.00;27.00
Jan 27, 2025 8:15 AM;Jan 27, 2025 8:30 AM;519.00;475.00;44.00
Jan 27, 2025 8:30 AM;Jan 27, 2025 8:45 AM;524.00;462.00;62.00
Jan 27, 2025 8:45 AM;Jan 27, 2025 9:00 AM;583.00;448.00;135.00
Jan 27, 2025 9:00 AM;Jan 27, 2025 9:15 AM;576.00;432.00;144.00
Jan 27, 2025 9:15 AM;Jan 27, 2025 9:30 AM;570.00;410.00;160.00
Jan 27, 2025 9:30 AM;Jan 27, 2025 9:45 AM;566.00;388.00;178.00
Jan 27, 2025 9:45 AM;Jan 27, 2025 10:00 AM;562.00;366.00;196.00
Jan 27, 2025 10:00 AM;Jan 27, 2025 10:15 AM;563.00;344.00;219.00
Jan 27, 2025 10:15 AM;Jan 27, 2025 10:30 AM;565.00;321.00;244.00
Jan 27, 2025 10:30 AM;Jan 27, 2025 10:45 AM;561.00;299.00;262.00
Jan 27, 2025 10:45 AM;Jan 27, 2025 11:00 AM;549.00;277.00;272.00
Jan 27, 2025 11:00 AM;Jan 27, 2025 11:15 AM;544.00;257.00;287.00
Jan 27, 2025 11:15 AM;Jan 27, 2025 11:30 AM;544.00;240.00;304.00
Jan 27, 2025 11:30 AM;Jan 27, 2025 11:45 AM;534.00;223.00;311.00
Jan 27, 2025 11:45 AM;Jan 27, 2025 12:00 PM;514.00;206.00;308.00
Jan 27, 2025 12:00 PM;Jan 27, 2025 12:15 PM;500.00;192.00;308.00
Jan 27, 2025 12:15 PM;Jan 27, 2025 12:30 PM;492.00;180.00;312.00
Jan 27, 2025 12:30 PM;Jan 27, 2025 12:45 PM;477.00;169.00;308.00
Jan 27, 2025 12:45 PM;Jan 27, 2025 1:00 PM;453.00;158.00;295.00
Jan 27, 2025 1:00 PM;Jan 27, 2025 1:15 PM;433.00;148.00;285.00
Jan 27, 2025 1:15 PM;Jan 27, 2025 1:30 PM;419.00;141.00;278.00
Jan 27, 2025 1:30 PM;Jan 27, 2025 1:45 PM;399.00;135.00;264.00
Jan 27, 2025 1:45 PM;Jan 27, 2025 2:00 PM;371.00;128.00;243.00
Jan 27, 2025 2:00 PM;Jan 27, 2025 2:15 PM;337.00;123.00;214.00
Jan 27, 2025 2:15 PM;Jan 27, 2025 2:30 PM;309.00;120.00;189.00
Jan 27, 2025 2:30 PM;Jan 27, 2025 2:45 PM;277.00;116.00;161.00
Jan 27, 2025 2:45 PM;Jan 27, 2025 3:00 PM;246.00;113.00;133.00
Jan 27, 2025 3:00 PM;Jan 27, 2025 3:15 PM;216.00;111.00;105.00
Jan 27, 2025 3:15 PM;Jan 27, 2025 3:30 PM;192.00;110.00;82.00
Jan 27, 2025 3:30 PM;Jan 27, 2025 3:45 PM;175.00;109.00;66.00
Jan 27, 2025 3:45 PM;Jan 27, 2025 4:00 PM;161.00;109.00;52.00
Jan 27, 2025 4:00 PM;Jan 27, 2025 4:15 PM;155.00;113.00;42.00
Jan 27, 2025 4:15 PM;Jan 27, 2025 4:30 PM;161.00;126.00;35.00
Jan 27, 2025 4:30 PM;Jan 27, 2025 4:45 PM;166.00;138.00;28.00
Jan 27, 2025 4:45 PM;Jan 27, 2025 5:00 PM;162.00;151.00;11.00
Jan 27, 2025 5:00 PM;Jan 27, 2025 5:15 PM;172.00;170.00;2.00
Jan 27, 2025 5:15 PM;Jan 27, 2025 5:30 PM;197.00;197.00;0.00
Jan 27, 2025 5:30 PM;Jan 27, 2025 5:45 PM;224.00;224.00;0.00
Jan 27, 2025 5:45 PM;Jan 27, 2025 6:00 PM;252.00;252.00;0.00
Jan 27, 2025 6:00 PM;Jan 27, 2025 6:15 PM;276.00;276.00;0.00
Jan 27, 2025 6:15 PM;Jan 27, 2025 6:30 PM;296.00;296.00;0.00
Jan 27, 2025 6:30 PM;Jan 27, 2025 6:45 PM;316.00;316.00;0.00
Jan 27, 2025 6:45 PM;Jan 27, 2025 7:00 PM;337.00;337.00;0.00
Jan 27, 2025 7:00 PM;Jan 27, 2025 7:15 PM;354.00;354.00;0.00
Jan 27, 2025 7:15 PM;Jan 27, 2025 7:30 PM;367.00;367.00;0.00
Jan 27, 2025 7:30 PM;Jan 27, 2025 7:45 PM;380.00;380.00;0.00
Jan 27, 2025 7:45 PM;Jan 27, 2025 8:00 PM;393.00;393.00;0.00
Jan 27, 2025 8:00 PM;Jan 27, 2025 8:15 PM;403.00;403.00;0.00
Jan 27, 2025 8:15 PM;Jan 27, 2025 8:30 PM;410.00;410.00;0.00
Jan 27, 2025 8:30 PM;Jan 27, 2025 8:45 PM;417.00;417.00;0.00
Jan 27, 2025 8:45 PM;Jan 27, 2025 9:00 PM;425.00;425.00;0.00
Jan 27, 2025 9:00 PM;Jan 27, 2025 9:15 PM;431.00;431.00;0.00
Jan 27, 2025 9:15 PM;Jan 27, 2025 9:30 PM;435.00;435.00;0.00
Jan 27, 2025 9:30 PM;Jan 27, 2025 9:45 PM;438.00;438.00;0.00
Jan 27, 2025 9:45 PM;Jan 27, 2025 10:00 PM;442.00;442.00;0.00
Jan 27, 2025 10:00 PM;Jan 27, 2025 10:15 PM;444.00;444.00;0.00
Jan 27, 2025 10:15 PM;Jan 27, 2025 10:30 PM;443.00;443.00;0.00
Jan 27, 2025 10:30 PM;Jan 27, 2025 10:45 PM;442.00;442.00;0.00
Jan 27, 2025 10:45 PM;Jan 27, 2025 11:00 PM;440.00;440.00;0.00
Jan 27, 2025 11:00 PM;Jan 27, 2025 11:15 PM;439.00;439.00;0.00
Jan 27, 2025 11:15 PM;Jan 27, 2025 11:30 PM;438.00;438.00;0.00
Jan 27, 2025 11:30 PM;Jan 27, 2025 11:45 PM;437.00;437.00;0.00
Jan 27, 2025 11:45 PM;Jan 28, 2025 12:00 AM;436.00;436.00;0.00
Jan 28, 2025 12:00 AM;Jan 28, 2025 12:15 AM;361.00;361.00;0.00
Jan 28, 2025 12:15 AM;Jan 28, 2025 12:30 AM;342.00;342.00;0.00
Jan 28, 2025 12:30 AM;Jan 28, 2025 12:45 AM;344.00;344.00;0.00
Jan 28, 2025 12:45 AM;Jan 28, 2025 1:00 AM;322.00;322.00;0.00
Jan 28, 2025 1:00 AM;Jan 28, 2025 1:15 AM;306.00;306.00;0.00
Jan 28, 2025 1:15 AM;Jan 28, 2025 1:30 AM;308.00;308.00;0.00
Jan 28, 2025 1:30 AM;Jan 28, 2025 1:45 AM;297.00;297.00;0.00
Jan 28, 2025 1:45 AM;Jan 28, 2025 2:00 AM;277.00;277.00;0.00
Jan 28, 2025 2:00 AM;Jan 28, 2025 2:15 AM;267.00;267.00;0.00
Jan 28, 2025 2:15 AM;Jan 28, 2025 2:30 AM;250.00;250.00;0.00
Jan 28, 2025 2:30 AM;Jan 28, 2025 2:45 AM;220.00;220.00;0.00
Jan 28, 2025 2:45 AM;Jan 28, 2025 3:00 AM;188.00;188.00;0.00
Jan 28, 2025 3:00 AM;Jan 28, 2025 3:15 AM;157.00;157.00;0.00
Jan 28, 2025 3:15 AM;Jan 28, 2025 3:30 AM;139.00;139.00;0.00
Jan 28, 2025 3:30 AM;Jan 28, 2025 3:45 AM;124.00;124.00;0.00
Jan 28, 2025 3:45 AM;Jan 28, 2025 4:00 AM;109.00;109.00;0.00
Jan 28, 2025 4:00 AM;Jan 28, 2025 4:15 AM;97.00;97.00;0.00
Jan 28, 2025 4:15 AM;Jan 28, 2025 4:30 AM;107.00;107.00;0.00
Jan 28, 2025 4:30 AM;Jan 28, 2025 4:45 AM;119.00;119.00;0.00
Jan 28, 2025 4:45 AM;Jan 28, 2025 5:00 AM;133.00;133.00;0.00
Jan 28, 2025 5:00 AM;Jan 28, 2025 5:15 AM;154.00;154.00;0.00
Jan 28, 2025 5:15 AM;Jan 28, 2025 5:30 AM;202.00;202.00;0.00
Jan 28, 2025 5:30 AM;Jan 28, 2025 5:45 AM;244.00;244.00;0.00
Jan 28, 2025 5:45 AM;Jan 28, 2025 6:00 AM;297.00;297.00;0.00
Jan 28, 2025 6:00 AM;Jan 28, 2025 6:15 AM;352.00;352.00;0.00
Jan 28, 2025 6:15 AM;Jan 28, 2025 6:30 AM;413.00;413.00;0.00
Jan 28, 2025 6:30 AM;Jan 28, 2025 6:45 AM;475.00;475.00;0.00
